timestamp,device,worker_instance,duration_ms,packet_id,layer_idx,operation,success,memory_used_mb,error_message
1763318069.8678334,cpu,cpu_embedding,1.056,1,-1,embedding,True,10.00,
1763318069.8681767,igpu,igpu_attention_layer_0,0.057,2,0,attention_layernorm,True,20.00,
1763318069.8683543,igpu,igpu_attention_layer_0,0.003,3,0,attention_qkv_proj,True,20.00,
1763318069.868473,igpu,cpu_router,0.002,4,0,router_logits,True,20.00,
1763318069.8696337,cpu,cpu_router,1.054,5,0,expert_selection,True,10.00,
1763318069.8697608,igpu,igpu_expert_ffn_layer_0,0.006,6,0,expert_ffn,True,20.00,
1763318069.8699174,igpu,igpu_attention_layer_1,0.003,7,1,attention_layernorm,True,20.00,
1763318069.8700557,igpu,igpu_attention_layer_1,0.001,8,1,attention_qkv_proj,True,20.00,
1763318069.8701773,igpu,cpu_router,0.001,9,1,router_logits,True,20.00,
1763318069.8713534,cpu,cpu_router,1.055,10,1,expert_selection,True,10.00,
1763318069.8714786,igpu,igpu_expert_ffn_layer_1,0.005,11,1,expert_ffn,True,20.00,
1763318069.8716018,igpu,igpu_attention_layer_2,0.001,12,2,attention_layernorm,True,20.00,
1763318069.8717144,igpu,igpu_attention_layer_2,0.001,13,2,attention_qkv_proj,True,20.00,
1763318069.8718112,igpu,cpu_router,0.001,14,2,router_logits,True,20.00,
1763318069.8730052,cpu,cpu_router,1.054,15,2,expert_selection,True,10.00,
1763318069.8731537,igpu,igpu_expert_ffn_layer_2,0.001,16,2,expert_ffn,True,20.00,
1763318069.8732762,igpu,igpu_attention_layer_3,0.001,17,3,attention_layernorm,True,20.00,
1763318069.8733912,igpu,igpu_attention_layer_3,0.001,18,3,attention_qkv_proj,True,20.00,
1763318069.873528,igpu,cpu_router,0.001,19,3,router_logits,True,20.00,
1763318069.8747253,cpu,cpu_router,1.053,20,3,expert_selection,True,10.00,
1763318069.8748658,igpu,igpu_expert_ffn_layer_3,0.001,21,3,expert_ffn,True,20.00,
1763318069.8750086,igpu,igpu_attention_layer_4,0.001,22,4,attention_layernorm,True,20.00,
1763318069.8751812,igpu,igpu_attention_layer_4,0.002,23,4,attention_qkv_proj,True,20.00,
1763318069.8753216,igpu,cpu_router,0.004,24,4,router_logits,True,20.00,
1763318069.8765223,cpu,cpu_router,1.054,25,4,expert_selection,True,10.00,
1763318069.8766596,igpu,igpu_expert_ffn_layer_4,0.004,26,4,expert_ffn,True,20.00,
1763318069.8767831,igpu,igpu_attention_layer_5,0.001,27,5,attention_layernorm,True,20.00,
1763318069.8768978,igpu,igpu_attention_layer_5,0.001,28,5,attention_qkv_proj,True,20.00,
1763318069.876995,igpu,cpu_router,0.001,29,5,router_logits,True,20.00,
1763318069.8781757,cpu,cpu_router,1.053,30,5,expert_selection,True,10.00,
1763318069.878298,igpu,igpu_expert_ffn_layer_5,0.001,31,5,expert_ffn,True,20.00,
1763318069.8784058,igpu,igpu_attention_layer_6,0.001,32,6,attention_layernorm,True,20.00,
1763318069.8785105,igpu,igpu_attention_layer_6,0.001,33,6,attention_qkv_proj,True,20.00,
1763318069.8786325,igpu,cpu_router,0.001,34,6,router_logits,True,20.00,
1763318069.8798182,cpu,cpu_router,1.054,35,6,expert_selection,True,10.00,
1763318069.879951,igpu,igpu_expert_ffn_layer_6,0.002,36,6,expert_ffn,True,20.00,
1763318069.8800967,igpu,igpu_attention_layer_7,0.001,37,7,attention_layernorm,True,20.00,
1763318069.8802817,igpu,igpu_attention_layer_7,0.011,38,7,attention_qkv_proj,True,20.00,
1763318069.880403,igpu,cpu_router,0.005,39,7,router_logits,True,20.00,
1763318069.881588,cpu,cpu_router,1.055,40,7,expert_selection,True,10.00,
1763318069.8817227,igpu,igpu_expert_ffn_layer_7,0.005,41,7,expert_ffn,True,20.00,
1763318069.8818495,igpu,igpu_attention_layer_8,0.001,42,8,attention_layernorm,True,20.00,
1763318069.8819702,igpu,igpu_attention_layer_8,0.002,43,8,attention_qkv_proj,True,20.00,
1763318069.8820915,igpu,cpu_router,0.002,44,8,router_logits,True,20.00,
1763318069.8833034,cpu,cpu_router,1.058,45,8,expert_selection,True,10.00,
1763318069.883452,igpu,igpu_expert_ffn_layer_8,0.013,46,8,expert_ffn,True,20.00,
1763318069.883586,igpu,igpu_attention_layer_9,0.002,47,9,attention_layernorm,True,20.00,
1763318069.8836982,igpu,igpu_attention_layer_9,0.001,48,9,attention_qkv_proj,True,20.00,
1763318069.883822,igpu,cpu_router,0.001,49,9,router_logits,True,20.00,
1763318069.8851428,cpu,cpu_router,1.054,50,9,expert_selection,True,10.00,
1763318069.8853102,igpu,igpu_expert_ffn_layer_9,0.004,51,9,expert_ffn,True,20.00,
1763318069.885467,igpu,igpu_attention_layer_10,0.002,52,10,attention_layernorm,True,20.00,
1763318069.885593,igpu,igpu_attention_layer_10,0.002,53,10,attention_qkv_proj,True,20.00,
1763318069.8856902,igpu,cpu_router,0.001,54,10,router_logits,True,20.00,
1763318069.886865,cpu,cpu_router,1.055,55,10,expert_selection,True,10.00,
1763318069.8869894,igpu,igpu_expert_ffn_layer_10,0.007,56,10,expert_ffn,True,20.00,
1763318069.8871222,igpu,igpu_attention_layer_11,0.002,57,11,attention_layernorm,True,20.00,
1763318069.8872318,igpu,igpu_attention_layer_11,0.001,58,11,attention_qkv_proj,True,20.00,
1763318069.8873236,igpu,cpu_router,0.001,59,11,router_logits,True,20.00,
1763318069.888475,cpu,cpu_router,1.053,60,11,expert_selection,True,10.00,
1763318069.8885753,igpu,igpu_expert_ffn_layer_11,0.002,61,11,expert_ffn,True,20.00,
1763318069.888678,igpu,igpu_attention_layer_12,0.001,62,12,attention_layernorm,True,20.00,
1763318069.8887742,igpu,igpu_attention_layer_12,0.001,63,12,attention_qkv_proj,True,20.00,
1763318069.888861,igpu,cpu_router,0.001,64,12,router_logits,True,20.00,
1763318069.8900378,cpu,cpu_router,1.055,65,12,expert_selection,True,10.00,
1763318069.8901725,igpu,igpu_expert_ffn_layer_12,0.007,66,12,expert_ffn,True,20.00,
1763318069.8903046,igpu,igpu_attention_layer_13,0.002,67,13,attention_layernorm,True,20.00,
1763318069.8904247,igpu,igpu_attention_layer_13,0.002,68,13,attention_qkv_proj,True,20.00,
1763318069.8905194,igpu,cpu_router,0.001,69,13,router_logits,True,20.00,
1763318069.8916893,cpu,cpu_router,1.055,70,13,expert_selection,True,10.00,
1763318069.8918002,igpu,igpu_expert_ffn_layer_13,0.008,71,13,expert_ffn,True,20.00,
1763318069.8919191,igpu,igpu_attention_layer_14,0.004,72,14,attention_layernorm,True,20.00,
1763318069.8920922,igpu,igpu_attention_layer_14,0.015,73,14,attention_qkv_proj,True,20.00,
1763318069.8922522,igpu,cpu_router,0.009,74,14,router_logits,True,20.00,
1763318069.8934407,cpu,cpu_router,1.057,75,14,expert_selection,True,10.00,
1763318069.8935604,igpu,igpu_expert_ffn_layer_14,0.006,76,14,expert_ffn,True,20.00,
1763318069.8936791,igpu,igpu_attention_layer_15,0.003,77,15,attention_layernorm,True,20.00,
1763318069.8937902,igpu,igpu_attention_layer_15,0.003,78,15,attention_qkv_proj,True,20.00,
1763318069.8938882,igpu,cpu_router,0.003,79,15,router_logits,True,20.00,
1763318069.8950548,cpu,cpu_router,1.056,80,15,expert_selection,True,10.00,
1763318069.8951702,igpu,igpu_expert_ffn_layer_15,0.004,81,15,expert_ffn,True,20.00,
1763318069.8953385,igpu,igpu_attention_layer_16,0.003,82,16,attention_layernorm,True,20.00,
1763318069.8954635,igpu,igpu_attention_layer_16,0.003,83,16,attention_qkv_proj,True,20.00,
1763318069.8955657,igpu,cpu_router,0.003,84,16,router_logits,True,20.00,
1763318069.8967395,cpu,cpu_router,1.055,85,16,expert_selection,True,10.00,
1763318069.8968527,igpu,igpu_expert_ffn_layer_16,0.004,86,16,expert_ffn,True,20.00,
1763318069.8969731,igpu,igpu_attention_layer_17,0.003,87,17,attention_layernorm,True,20.00,
1763318069.8970928,igpu,igpu_attention_layer_17,0.003,88,17,attention_qkv_proj,True,20.00,
1763318069.8971992,igpu,cpu_router,0.003,89,17,router_logits,True,20.00,
1763318069.8983898,cpu,cpu_router,1.061,90,17,expert_selection,True,10.00,
1763318069.898535,igpu,igpu_expert_ffn_layer_17,0.015,91,17,expert_ffn,True,20.00,
1763318069.898661,igpu,igpu_attention_layer_18,0.003,92,18,attention_layernorm,True,20.00,
1763318069.89879,igpu,igpu_attention_layer_18,0.003,93,18,attention_qkv_proj,True,20.00,
1763318069.89889,igpu,cpu_router,0.003,94,18,router_logits,True,20.00,
1763318069.900058,cpu,cpu_router,1.056,95,18,expert_selection,True,10.00,
1763318069.9001849,igpu,igpu_expert_ffn_layer_18,0.003,96,18,expert_ffn,True,20.00,
1763318069.9003234,igpu,igpu_attention_layer_19,0.003,97,19,attention_layernorm,True,20.00,
1763318069.9004478,igpu,igpu_attention_layer_19,0.003,98,19,attention_qkv_proj,True,20.00,
1763318069.9005654,igpu,cpu_router,0.003,99,19,router_logits,True,20.00,
1763318069.9017477,cpu,cpu_router,1.056,100,19,expert_selection,True,10.00,
1763318069.9018595,igpu,igpu_expert_ffn_layer_19,0.005,101,19,expert_ffn,True,20.00,
1763318069.9019713,igpu,igpu_attention_layer_20,0.003,102,20,attention_layernorm,True,20.00,
1763318069.902084,igpu,igpu_attention_layer_20,0.003,103,20,attention_qkv_proj,True,20.00,
1763318069.9021852,igpu,cpu_router,0.003,104,20,router_logits,True,20.00,
1763318069.9033515,cpu,cpu_router,1.057,105,20,expert_selection,True,10.00,
1763318069.90347,igpu,igpu_expert_ffn_layer_20,0.009,106,20,expert_ffn,True,20.00,
1763318069.9035861,igpu,igpu_attention_layer_21,0.005,107,21,attention_layernorm,True,20.00,
1763318069.903701,igpu,igpu_attention_layer_21,0.003,108,21,attention_qkv_proj,True,20.00,
1763318069.9038453,igpu,cpu_router,0.010,109,21,router_logits,True,20.00,
1763318069.9050276,cpu,cpu_router,1.058,110,21,expert_selection,True,10.00,
1763318069.9051588,igpu,igpu_expert_ffn_layer_21,0.009,111,21,expert_ffn,True,20.00,
1763318069.9052856,igpu,igpu_attention_layer_22,0.003,112,22,attention_layernorm,True,20.00,
1763318069.9054239,igpu,igpu_attention_layer_22,0.003,113,22,attention_qkv_proj,True,20.00,
1763318069.9055297,igpu,cpu_router,0.003,114,22,router_logits,True,20.00,
1763318069.906709,cpu,cpu_router,1.060,115,22,expert_selection,True,10.00,
1763318069.906831,igpu,igpu_expert_ffn_layer_22,0.009,116,22,expert_ffn,True,20.00,
1763318069.9069493,igpu,igpu_attention_layer_23,0.003,117,23,attention_layernorm,True,20.00,
1763318069.9070659,igpu,igpu_attention_layer_23,0.007,118,23,attention_qkv_proj,True,20.00,
1763318069.9071722,igpu,cpu_router,0.003,119,23,router_logits,True,20.00,
1763318069.9083362,cpu,cpu_router,1.055,120,23,expert_selection,True,10.00,
1763318069.908456,igpu,igpu_expert_ffn_layer_23,0.004,121,23,expert_ffn,True,20.00,
1763318069.908572,igpu,igpu_attention_layer_24,0.003,122,24,attention_layernorm,True,20.00,
1763318069.908679,igpu,igpu_attention_layer_24,0.003,123,24,attention_qkv_proj,True,20.00,
1763318069.908776,igpu,cpu_router,0.002,124,24,router_logits,True,20.00,
1763318069.9099464,cpu,cpu_router,1.057,125,24,expert_selection,True,10.00,
1763318069.910086,igpu,igpu_expert_ffn_layer_24,0.008,126,24,expert_ffn,True,20.00,
1763318069.910231,igpu,igpu_attention_layer_25,0.005,127,25,attention_layernorm,True,20.00,
1763318069.910348,igpu,igpu_attention_layer_25,0.004,128,25,attention_qkv_proj,True,20.00,
1763318069.910447,igpu,cpu_router,0.003,129,25,router_logits,True,20.00,
1763318069.9116256,cpu,cpu_router,1.056,130,25,expert_selection,True,10.00,
1763318069.9117389,igpu,igpu_expert_ffn_layer_25,0.008,131,25,expert_ffn,True,20.00,
1763318069.911852,igpu,igpu_attention_layer_26,0.003,132,26,attention_layernorm,True,20.00,
1763318069.9120674,igpu,igpu_attention_layer_26,0.009,133,26,attention_qkv_proj,True,20.00,
1763318069.9122033,igpu,cpu_router,0.004,134,26,router_logits,True,20.00,
1763318069.9133773,cpu,cpu_router,1.054,135,26,expert_selection,True,10.00,
1763318069.9135256,igpu,igpu_expert_ffn_layer_26,0.006,136,26,expert_ffn,True,20.00,
1763318069.9136686,igpu,igpu_attention_layer_27,0.002,137,27,attention_layernorm,True,20.00,
1763318069.913781,igpu,igpu_attention_layer_27,0.001,138,27,attention_qkv_proj,True,20.00,
1763318069.9138753,igpu,cpu_router,0.002,139,27,router_logits,True,20.00,
1763318069.9150288,cpu,cpu_router,1.054,140,27,expert_selection,True,10.00,
1763318069.915167,igpu,igpu_expert_ffn_layer_27,0.009,141,27,expert_ffn,True,20.00,
1763318069.915326,igpu,igpu_attention_layer_28,0.005,142,28,attention_layernorm,True,20.00,
1763318069.9154642,igpu,igpu_attention_layer_28,0.004,143,28,attention_qkv_proj,True,20.00,
1763318069.9155705,igpu,cpu_router,0.003,144,28,router_logits,True,20.00,
1763318069.9167418,cpu,cpu_router,1.056,145,28,expert_selection,True,10.00,
1763318069.9168937,igpu,igpu_expert_ffn_layer_28,0.011,146,28,expert_ffn,True,20.00,
1763318069.9170065,igpu,igpu_attention_layer_29,0.002,147,29,attention_layernorm,True,20.00,
1763318069.9171362,igpu,igpu_attention_layer_29,0.003,148,29,attention_qkv_proj,True,20.00,
1763318069.9172432,igpu,cpu_router,0.003,149,29,router_logits,True,20.00,
1763318069.9184017,cpu,cpu_router,1.054,150,29,expert_selection,True,10.00,
1763318069.918505,igpu,igpu_expert_ffn_layer_29,0.004,151,29,expert_ffn,True,20.00,
1763318069.9186127,igpu,igpu_attention_layer_30,0.002,152,30,attention_layernorm,True,20.00,
1763318069.9187174,igpu,igpu_attention_layer_30,0.002,153,30,attention_qkv_proj,True,20.00,
1763318069.9188106,igpu,cpu_router,0.002,154,30,router_logits,True,20.00,
1763318069.9200008,cpu,cpu_router,1.058,155,30,expert_selection,True,10.00,
1763318069.920144,igpu,igpu_expert_ffn_layer_30,0.010,156,30,expert_ffn,True,20.00,
1763318069.9202943,igpu,igpu_attention_layer_31,0.004,157,31,attention_layernorm,True,20.00,
1763318069.9204154,igpu,igpu_attention_layer_31,0.003,158,31,attention_qkv_proj,True,20.00,
1763318069.920511,igpu,cpu_router,0.002,159,31,router_logits,True,20.00,
1763318069.9216719,cpu,cpu_router,1.054,160,31,expert_selection,True,10.00,
1763318069.9217763,igpu,igpu_expert_ffn_layer_31,0.003,161,31,expert_ffn,True,20.00,
1763318069.922993,cpu,cpu_layernorm_layer_32,1.054,162,32,final_layernorm,True,10.00,
1763318069.9242022,cpu,cpu_lm_head,1.053,163,33,lm_head,True,10.00,
1763318073.6671479,cpu,cpu_embedding,1.056,164,-1,embedding,True,10.00,
1763318073.6691086,igpu,igpu_attention_layer_0,0.036,165,0,attention_layernorm,True,20.00,
1763318073.6694193,igpu,igpu_attention_layer_0,0.003,166,0,attention_qkv_proj,True,20.00,
1763318073.669616,igpu,cpu_router,0.002,167,0,router_logits,True,20.00,
1763318073.6708407,cpu,cpu_router,1.054,168,0,expert_selection,True,10.00,
1763318073.6710477,igpu,igpu_expert_ffn_layer_0,0.002,169,0,expert_ffn,True,20.00,
1763318073.6713214,igpu,igpu_attention_layer_1,0.002,170,1,attention_layernorm,True,20.00,
1763318073.6715367,igpu,igpu_attention_layer_1,0.001,171,1,attention_qkv_proj,True,20.00,
1763318073.6716888,igpu,cpu_router,0.001,172,1,router_logits,True,20.00,
1763318073.6728992,cpu,cpu_router,1.057,173,1,expert_selection,True,10.00,
1763318073.6730683,igpu,igpu_expert_ffn_layer_1,0.006,174,1,expert_ffn,True,20.00,
1763318073.6732478,igpu,igpu_attention_layer_2,0.002,175,2,attention_layernorm,True,20.00,
1763318073.6734073,igpu,igpu_attention_layer_2,0.001,176,2,attention_qkv_proj,True,20.00,
1763318073.673543,igpu,cpu_router,0.001,177,2,router_logits,True,20.00,
1763318073.6747377,cpu,cpu_router,1.054,178,2,expert_selection,True,10.00,
1763318073.6748781,igpu,igpu_expert_ffn_layer_2,0.001,179,2,expert_ffn,True,20.00,
1763318073.6750393,igpu,igpu_attention_layer_3,0.001,180,3,attention_layernorm,True,20.00,
1763318073.6752038,igpu,igpu_attention_layer_3,0.001,181,3,attention_qkv_proj,True,20.00,
1763318073.6753347,igpu,cpu_router,0.001,182,3,router_logits,True,20.00,
1763318073.676516,cpu,cpu_router,1.053,183,3,expert_selection,True,10.00,
1763318073.676657,igpu,igpu_expert_ffn_layer_3,0.002,184,3,expert_ffn,True,20.00,
1763318073.6769233,igpu,igpu_attention_layer_4,0.002,185,4,attention_layernorm,True,20.00,
1763318073.6773612,igpu,igpu_attention_layer_4,0.001,186,4,attention_qkv_proj,True,20.00,
1763318073.6777987,igpu,cpu_router,0.014,187,4,router_logits,True,20.00,
